,0,1,2,3,4,5,6,7,8,9,10,11
0,0.95,0.91,0.98,0.93,1.0,1.0,0.95,1.0,0.86,1.0,0.91,0.73
1,0.98,0.91,0.98,0.93,1.0,1.0,0.98,1.0,0.84,1.0,0.89,0.8
2,0.93,0.91,0.98,0.93,0.98,1.0,1.0,1.0,0.86,1.0,0.93,0.7
3,0.98,0.86,0.98,0.93,1.0,1.0,0.95,1.0,0.91,1.0,0.91,0.8
4,0.98,0.84,0.98,0.89,1.0,1.0,1.0,1.0,0.91,1.0,0.91,0.84
5,0.95,0.91,0.95,0.91,1.0,1.0,1.0,1.0,0.89,1.0,0.89,0.82
6,0.98,0.86,0.95,0.86,1.0,1.0,0.98,1.0,0.95,1.0,0.89,0.75
7,0.98,0.84,0.98,0.91,1.0,1.0,0.95,0.98,0.89,1.0,0.89,0.77
8,0.95,0.91,0.98,0.95,1.0,1.0,0.98,0.98,0.91,1.0,0.91,0.75
9,0.98,0.8,0.95,0.86,1.0,1.0,0.98,1.0,0.86,1.0,0.93,0.75
